id,ssid,bssid,signal,frequency,auth,akm,cipher,timestamp,longitude,latitude,altitude
127,Vranes Backyard Starlink,62:1a:11:3d:e6:16,-90,5805,0,[4],0,2026-06-02T14:37:53.232787,0.0,0.0,0.0
128,,8c:90:2d:21:88:ca,-72,2417,0,[4],0,2026-06-02T14:37:53.232869,0.0,0.0,0.0
129,,6e:42:4e:5b:01:f3,-39,2437,0,[4],0,2026-06-02T14:37:53.232952,0.0,0.0,0.0
130,,6e:42:4e:8b:01:f3,-43,2437,0,[4],0,2026-06-02T14:37:53.233034,0.0,0.0,0.0
131,,62:1a:11:4d:e6:16,-68,2462,0,[4],0,2026-06-02T14:37:53.233115,0.0,0.0,0.0
132,Brown Hollow 2,8e:a0:2d:21:88:c2,-80,2417,0,[4],0,2026-06-02T14:37:53.233195,0.0,0.0,0.0
133,,1a:60:41:7e:57:50,-86,2422,0,[4],0,2026-06-02T14:37:53.233278,0.0,0.0,0.0
134,ASUS_2G_Guest,3c:7c:3f:97:3a:49,-89,2447,0,[4],0,2026-06-02T14:37:53.233359,0.0,0.0,0.0
135,Simon,3c:7c:3f:97:3a:48,-89,2447,0,[4],0,2026-06-02T14:37:53.233440,0.0,0.0,0.0
136,,6e:42:4e:6b:01:f3,-47,5220,0,[4],0,2026-06-02T14:38:09.360184,0.0,0.0,0.0
137,,6e:42:4e:7b:01:f3,-57,5765,0,[4],0,2026-06-02T14:38:09.360637,0.0,0.0,0.0
138,M&M Lodge,24:e5:0f:4a:91:1a,-46,5745,0,[4],0,2026-06-02T14:38:09.360680,0.0,0.0,0.0
139,Vranes Home Starlink,6e:42:4e:3b:01:f3,-47,5220,0,[4],0,2026-06-02T14:38:09.360721,0.0,0.0,0.0
140,Vranes Home Starlink,6e:42:4e:4b:01:f3,-57,5765,0,[4],0,2026-06-02T14:38:09.360754,0.0,0.0,0.0
141,M&M Lodge,24:e5:0f:4a:7f:2c,-60,5745,0,[4],0,2026-06-02T14:38:09.360787,0.0,0.0,0.0
142,M&M Lodge,24:e5:0f:4a:76:71,-68,5745,0,[4],0,2026-06-02T14:38:09.360819,0.0,0.0,0.0
143,306D4721,0a:b4:b1:03:f8:e9,-68,5745,0,[],0,2026-06-02T14:38:09.360850,0.0,0.0,0.0
144,M&M Lodge,24:e5:0f:4a:7f:28,-48,2412,0,[4],0,2026-06-02T14:38:09.360882,0.0,0.0,0.0
145,M&M Lodge,24:e5:0f:4a:91:16,-32,2437,0,[4],0,2026-06-02T14:38:09.360914,0.0,0.0,0.0
146,Vranes Home Starlink,6e:42:4e:2b:01:f3,-40,2437,0,[4],0,2026-06-02T14:38:09.360947,0.0,0.0,0.0
147,M&M Lodge,24:e5:0f:4a:76:6d,-49,2412,0,[4],0,2026-06-02T14:38:09.360979,0.0,0.0,0.0
148,WACFan_8ADA98,10:97:bd:8a:da:99,-56,2412,0,[4],0,2026-06-02T14:38:09.361011,0.0,0.0,0.0
149,Vranes Backyard Starlink,62:1a:11:2d:e6:16,-69,2462,0,[4],0,2026-06-02T14:38:09.361043,0.0,0.0,0.0
150,Brown Hollow 2,8e:a0:2d:21:88:ca,-71,2417,0,[4],0,2026-06-02T14:38:09.361075,0.0,0.0,0.0
151,GDSH,c6:33:7c:c6:8f:b3,-46,2462,0,[],0,2026-06-02T14:38:09.361106,0.0,0.0,0.0
152,,06:99:12:88:1b:63,-83,2437,0,[4],0,2026-06-02T14:38:09.361138,0.0,0.0,0.0
153,,62:1a:11:5d:e6:16,-91,5805,0,[4],0,2026-06-02T14:38:09.361170,0.0,0.0,0.0
154,Vranes Backyard Starlink,62:1a:11:3d:e6:16,-91,5805,0,[4],0,2026-06-02T14:38:09.361202,0.0,0.0,0.0
155,,8c:90:2d:21:88:ca,-72,2417,0,[4],0,2026-06-02T14:38:09.361234,0.0,0.0,0.0
156,,6e:42:4e:5b:01:f3,-39,2437,0,[4],0,2026-06-02T14:38:09.361266,0.0,0.0,0.0
157,,6e:42:4e:8b:01:f3,-43,2437,0,[4],0,2026-06-02T14:38:09.361298,0.0,0.0,0.0
158,,62:1a:11:4d:e6:16,-68,2462,0,[4],0,2026-06-02T14:38:09.361330,0.0,0.0,0.0
159,Brown Hollow 2,8e:a0:2d:21:88:c2,-80,2417,0,[4],0,2026-06-02T14:38:09.361361,0.0,0.0,0.0
160,,1a:60:41:7e:57:50,-86,2422,0,[4],0,2026-06-02T14:38:09.361393,0.0,0.0,0.0
161,ASUS_2G_Guest,3c:7c:3f:97:3a:49,-89,2447,0,[4],0,2026-06-02T14:38:09.361425,0.0,0.0,0.0
162,Simon,3c:7c:3f:97:3a:48,-89,2447,0,[4],0,2026-06-02T14:38:09.361457,0.0,0.0,0.0
163,,6e:42:4e:6b:01:f3,-47,5220,0,[4],0,2026-06-02T14:38:49.280765,0.0,0.0,0.0
164,,6e:42:4e:7b:01:f3,-57,5765,0,[4],0,2026-06-02T14:38:49.281339,0.0,0.0,0.0
165,M&M Lodge,24:e5:0f:4a:91:1a,-46,5745,0,[4],0,2026-06-02T14:38:49.281408,0.0,0.0,0.0
166,Vranes Home Starlink,6e:42:4e:3b:01:f3,-47,5220,0,[4],0,2026-06-02T14:38:49.281467,0.0,0.0,0.0
167,Vranes Home Starlink,6e:42:4e:4b:01:f3,-57,5765,0,[4],0,2026-06-02T14:38:49.281569,0.0,0.0,0.0
168,M&M Lodge,24:e5:0f:4a:7f:2c,-61,5745,0,[4],0,2026-06-02T14:38:49.281628,0.0,0.0,0.0
169,M&M Lodge,24:e5:0f:4a:76:71,-67,5745,0,[4],0,2026-06-02T14:38:49.281685,0.0,0.0,0.0
170,306D4721,0a:b4:b1:03:f8:e9,-68,5745,0,[],0,2026-06-02T14:38:49.281739,0.0,0.0,0.0
171,M&M Lodge,24:e5:0f:4a:7f:28,-45,2412,0,[4],0,2026-06-02T14:38:49.281795,0.0,0.0,0.0
172,M&M Lodge,24:e5:0f:4a:91:16,-33,2437,0,[4],0,2026-06-02T14:38:49.281850,0.0,0.0,0.0
173,Vranes Home Starlink,6e:42:4e:2b:01:f3,-40,2437,0,[4],0,2026-06-02T14:38:49.281906,0.0,0.0,0.0
174,M&M Lodge,24:e5:0f:4a:76:6d,-50,2412,0,[4],0,2026-06-02T14:38:49.281961,0.0,0.0,0.0
175,WACFan_8ADA98,10:97:bd:8a:da:99,-55,2412,0,[4],0,2026-06-02T14:38:49.282016,0.0,0.0,0.0
176,Vranes Backyard Starlink,62:1a:11:2d:e6:16,-70,2462,0,[4],0,2026-06-02T14:38:49.282072,0.0,0.0,0.0
177,GDSH,c6:33:7c:c6:8f:b3,-47,2462,0,[],0,2026-06-02T14:38:49.282125,0.0,0.0,0.0
178,,62:1a:11:5d:e6:16,-91,5805,0,[4],0,2026-06-02T14:38:49.282180,0.0,0.0,0.0
179,Vranes Backyard Starlink,62:1a:11:3d:e6:16,-92,5805,0,[4],0,2026-06-02T14:38:49.282236,0.0,0.0,0.0
180,,8c:90:2d:21:88:ca,-80,2417,0,[4],0,2026-06-02T14:38:49.282291,0.0,0.0,0.0
181,,6e:42:4e:8b:01:f3,-43,2437,0,[4],0,2026-06-02T14:38:49.282346,0.0,0.0,0.0
182,,62:1a:11:4d:e6:16,-72,2462,0,[4],0,2026-06-02T14:38:49.282401,0.0,0.0,0.0
183,,1a:60:41:7e:57:50,-87,2422,0,[4],0,2026-06-02T14:38:49.282457,0.0,0.0,0.0
184,,62:1a:11:6d:e6:16,-72,2462,0,[4],0,2026-06-02T14:38:49.282512,0.0,0.0,0.0
185,Brown Hollow 2,8e:a0:2d:21:88:c6,-88,2417,0,[4],0,2026-06-02T14:38:49.282616,0.0,0.0,0.0
186,Stupacalypse Now,06:99:12:28:1b:63,-89,2437,0,[4],0,2026-06-02T14:38:49.282680,0.0,0.0,0.0
187,Trump2024,e2:db:d1:cb:76:f1,-91,2412,0,[4],0,2026-06-02T14:38:49.282737,0.0,0.0,0.0
188,,e2:db:d1:cb:76:f6,-91,2412,0,[3],0,2026-06-02T14:38:49.282793,0.0,0.0,0.0
189,,6e:42:4e:6b:01:f3,-70,5220,0,[4],0,2026-06-02T14:39:05.412470,0.0,0.0,0.0
190,,6e:42:4e:7b:01:f3,-67,5765,0,[4],0,2026-06-02T14:39:05.413262,0.0,0.0,0.0
191,M&M Lodge,24:e5:0f:4a:91:1a,-69,5745,0,[4],0,2026-06-02T14:39:05.413364,0.0,0.0,0.0
192,Vranes Home Starlink,6e:42:4e:3b:01:f3,-70,5220,0,[4],0,2026-06-02T14:39:05.413453,0.0,0.0,0.0
193,Vranes Home Starlink,6e:42:4e:4b:01:f3,-67,5765,0,[4],0,2026-06-02T14:39:05.413592,0.0,0.0,0.0
194,M&M Lodge,24:e5:0f:4a:7f:2c,-86,5745,0,[4],0,2026-06-02T14:39:05.413681,0.0,0.0,0.0
195,M&M Lodge,24:e5:0f:4a:76:71,-77,5745,0,[4],0,2026-06-02T14:39:05.413766,0.0,0.0,0.0
196,306D4721,0a:b4:b1:03:f8:e9,-56,5745,0,[],0,2026-06-02T14:39:05.413847,0.0,0.0,0.0
197,M&M Lodge,24:e5:0f:4a:7f:28,-64,2412,0,[4],0,2026-06-02T14:39:05.413931,0.0,0.0,0.0
198,M&M Lodge,24:e5:0f:4a:91:16,-54,2437,0,[4],0,2026-06-02T14:39:05.414014,0.0,0.0,0.0
199,Vranes Home Starlink,6e:42:4e:2b:01:f3,-40,2437,0,[4],0,2026-06-02T14:39:05.414097,0.0,0.0,0.0
200,M&M Lodge,24:e5:0f:4a:76:6d,-55,2412,0,[4],0,2026-06-02T14:39:05.414181,0.0,0.0,0.0
201,WACFan_8ADA98,10:97:bd:8a:da:99,-82,2412,0,[4],0,2026-06-02T14:39:05.414275,0.0,0.0,0.0
202,Vranes Backyard Starlink,62:1a:11:2d:e6:16,-61,2462,0,[4],0,2026-06-02T14:39:05.414366,0.0,0.0,0.0
203,GDSH,c6:33:7c:c6:8f:b3,-47,2462,0,[],0,2026-06-02T14:39:05.414447,0.0,0.0,0.0
204,,62:1a:11:5d:e6:16,-85,5805,0,[4],0,2026-06-02T14:39:05.414571,0.0,0.0,0.0
205,Vranes Backyard Starlink,62:1a:11:3d:e6:16,-85,5805,0,[4],0,2026-06-02T14:39:05.414659,0.0,0.0,0.0
206,,8c:90:2d:21:88:ca,-80,2417,0,[4],0,2026-06-02T14:39:05.414743,0.0,0.0,0.0
207,,6e:42:4e:8b:01:f3,-43,2437,0,[4],0,2026-06-02T14:39:05.414831,0.0,0.0,0.0
208,,62:1a:11:4d:e6:16,-72,2462,0,[4],0,2026-06-02T14:39:05.414915,0.0,0.0,0.0
209,,1a:60:41:7e:57:50,-87,2422,0,[4],0,2026-06-02T14:39:05.414999,0.0,0.0,0.0
210,,62:1a:11:6d:e6:16,-72,2462,0,[4],0,2026-06-02T14:39:05.415081,0.0,0.0,0.0
211,Brown Hollow 2,8e:a0:2d:21:88:c6,-64,2417,0,[4],0,2026-06-02T14:39:05.415164,0.0,0.0,0.0
212,Stupacalypse Now,06:99:12:28:1b:63,-73,2437,0,[4],0,2026-06-02T14:39:05.415247,0.0,0.0,0.0
